date,open,high,low,close,volume,bb_upper_21_2,bb_mid_21,bb_lower_21_2,sma_200,sma_89,sma_50,sma_3,sma_2,macd_line_8_21,macd_signal_5,macd_hist,rsi_13,stoch_rsi_raw_21,stoch_rsi_k_3,stoch_rsi_d_5,plus_di_5,minus_di_5,adx_13
2025-12-03,286.2000,288.6200,283.3000,284.1500,43511522,284.884605,273.612381,262.340157,227.806100,249.237303,264.588000,284.480000,285.170000,5.758891,4.835004,0.923888,70.809298,79.706488,93.235496,85.563035,38.426949,3.738426,49.673011
2025-12-04,284.0950,284.7300,278.5900,280.7000,43952485,285.659928,274.120000,262.580072,227.985250,250.042360,265.155800,283.680000,282.425000,5.342355,5.004121,0.338234,62.930221,48.921756,76.209415,86.119510,29.901089,19.928790,47.391447
2025-12-05,280.5400,281.1400,278.0500,278.7800,47255069,286.090491,274.531429,262.972366,228.150000,250.842472,265.594000,281.210000,279.740000,4.687787,4.898676,-0.210889,58.973920,33.463898,54.030714,81.160501,26.238846,19.628343,44.854588
2025-12-08,278.1300,279.6693,276.1500,277.8900,38186003,286.356807,274.918095,263.479383,228.311700,251.690899,266.042600,279.123333,278.335000,4.013390,4.603581,-0.590191,57.169066,26.412064,36.265906,70.931994,22.342941,24.730015,41.794312
2025-12-09,278.1600,280.0300,276.9200,277.1800,32153772,286.432899,275.332857,264.232815,228.462100,252.520449,266.497600,277.950000,277.535000,3.362233,4.189798,-0.827566,55.695953,20.656391,26.844118,57.317130,20.828957,21.245484,38.655517
2025-12-10,277.7500,279.7500,276.4400,278.7800,33038108,286.642923,275.778095,264.913268,228.620800,253.372809,266.980600,277.950000,277.980000,3.043996,3.807864,-0.763869,58.318039,30.901272,25.989909,43.868012,17.540836,20.180860,36.220376
2025-12-11,279.0950,279.5900,273.8100,278.0300,33184801,286.814016,275.910476,265.006936,228.809150,254.100674,267.432200,277.996667,278.405000,2.659000,3.424909,-0.765910,56.616469,24.252986,25.270216,33.680173,13.045586,26.669925,36.073027
2025-12-12,277.9000,279.2200,276.8200,278.2800,39532644,287.030452,276.139524,265.248595,229.014050,254.755169,267.855200,278.363333,278.155000,2.365891,3.071903,-0.706012,57.068805,26.020328,27.058196,28.285669,11.514057,23.538922,35.937011
2025-12-15,280.1500,280.1500,272.8400,274.1100,50409068,287.032057,276.194762,265.357467,229.175400,255.258090,268.177000,276.806667,276.195000,1.563272,2.569026,-1.005754,48.021318,0.000000,16.757771,24.384042,7.957360,33.086120,37.882221
2025-12-16,272.8200,275.5000,271.7900,274.6100,37648586,287.030459,276.299524,265.568589,229.358300,255.791011,268.535400,275.666667,274.360000,1.029838,2.055963,-1.026125,49.070131,3.748178,9.922835,20.999786,6.653490,32.302189,40.032874
